"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","106276","testcase()","","Wed Jul 16 20:46:55 UTC 2025","broken","Wed Jul 16 20:48:41 UTC 2025","","TestCases.RWHQImports.SmokeTests.C44_SubmitNewValidIdeaWithAllRequiredFields","TestCases.RWHQImports.SmokeTests.C44_SubmitNewValidIdeaWithAllRequiredFields","testcase"
"","129157","testcase()","","Wed Jul 16 20:46:55 UTC 2025","broken","Wed Jul 16 20:49:04 UTC 2025","","TestCases.RWHQImports.SmokeTests.C79_PipelineCreation_CreateDiscussApp","TestCases.RWHQImports.SmokeTests.C79_PipelineCreation_CreateDiscussApp","testcase"
"","77870","testcase()","","Wed Jul 16 20:46:52 UTC 2025","passed","Wed Jul 16 20:48:09 UTC 2025","","TestCases.RWHQImports.SmokeTests.C128776_CommentComponent_EditComment","TestCases.RWHQImports.SmokeTests.C128776_CommentComponent_EditComment","testcase"
"","55209","testcase()","","Wed Jul 16 20:46:53 UTC 2025","passed","Wed Jul 16 20:47:49 UTC 2025","","TestCases.RWHQImports.SmokeTests.C63_VerifyIdeaExistsInPipeline","TestCases.RWHQImports.SmokeTests.C63_VerifyIdeaExistsInPipeline","testcase"
"","109936","testcase()","","Wed Jul 16 20:47:00 UTC 2025","passed","Wed Jul 16 20:48:50 UTC 2025","","TestCases.RWHQImports.SmokeTests.C130972_WB_Text_AddAndRemoveText","TestCases.RWHQImports.SmokeTests.C130972_WB_Text_AddAndRemoveText","testcase"
