"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","122148","testcase()","","Wed Jul 16 16:49:33 UTC 2025","broken","Wed Jul 16 16:51:35 UTC 2025","","TestCases.RWHQImports.SmokeTests.C79_PipelineCreation_CreateDiscussApp","TestCases.RWHQImports.SmokeTests.C79_PipelineCreation_CreateDiscussApp","testcase"
"","52472","testcase()","","Wed Jul 16 16:49:30 UTC 2025","passed","Wed Jul 16 16:50:23 UTC 2025","","TestCases.RWHQImports.SmokeTests.C63_VerifyIdeaExistsInPipeline","TestCases.RWHQImports.SmokeTests.C63_VerifyIdeaExistsInPipeline","testcase"
"","88086","testcase()","","Wed Jul 16 16:49:26 UTC 2025","broken","Wed Jul 16 16:50:54 UTC 2025","","TestCases.RWHQImports.SmokeTests.C44_SubmitNewValidIdeaWithAllRequiredFields","TestCases.RWHQImports.SmokeTests.C44_SubmitNewValidIdeaWithAllRequiredFields","testcase"
"","90227","testcase()","","Wed Jul 16 16:49:26 UTC 2025","passed","Wed Jul 16 16:50:56 UTC 2025","","TestCases.RWHQImports.SmokeTests.C130972_WB_Text_AddAndRemoveText","TestCases.RWHQImports.SmokeTests.C130972_WB_Text_AddAndRemoveText","testcase"
"","83753","testcase()","","Wed Jul 16 16:49:28 UTC 2025","passed","Wed Jul 16 16:50:52 UTC 2025","","TestCases.RWHQImports.SmokeTests.C128776_CommentComponent_EditComment","TestCases.RWHQImports.SmokeTests.C128776_CommentComponent_EditComment","testcase"
