"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","105058","testcase()","","Wed Jul 16 14:54:10 UTC 2025","passed","Wed Jul 16 14:55:55 UTC 2025","","TestCases.RWHQImports.SmokeTests.C130972_WB_Text_AddAndRemoveText","TestCases.RWHQImports.SmokeTests.C130972_WB_Text_AddAndRemoveText","testcase"
"","99360","testcase()","","Wed Jul 16 14:54:06 UTC 2025","broken","Wed Jul 16 14:55:45 UTC 2025","","TestCases.RWHQImports.SmokeTests.C44_SubmitNewValidIdeaWithAllRequiredFields","TestCases.RWHQImports.SmokeTests.C44_SubmitNewValidIdeaWithAllRequiredFields","testcase"
"","51096","testcase()","","Wed Jul 16 14:54:05 UTC 2025","passed","Wed Jul 16 14:54:56 UTC 2025","","TestCases.RWHQImports.SmokeTests.C63_VerifyIdeaExistsInPipeline","TestCases.RWHQImports.SmokeTests.C63_VerifyIdeaExistsInPipeline","testcase"
"","91204","testcase()","","Wed Jul 16 14:54:05 UTC 2025","passed","Wed Jul 16 14:55:36 UTC 2025","","TestCases.RWHQImports.SmokeTests.C128776_CommentComponent_EditComment","TestCases.RWHQImports.SmokeTests.C128776_CommentComponent_EditComment","testcase"
"","127781","testcase()","","Wed Jul 16 14:54:06 UTC 2025","broken","Wed Jul 16 14:56:14 UTC 2025","","TestCases.RWHQImports.SmokeTests.C79_PipelineCreation_CreateDiscussApp","TestCases.RWHQImports.SmokeTests.C79_PipelineCreation_CreateDiscussApp","testcase"
