"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","113739","testcase()","","Fri Jul 11 18:47:32 UTC 2025","broken","Fri Jul 11 18:49:25 UTC 2025","","TestCases.RWHQImports.SmokeTests.C79_PipelineCreation_CreateDiscussApp","TestCases.RWHQImports.SmokeTests.C79_PipelineCreation_CreateDiscussApp","testcase"
"","104623","testcase()","","Fri Jul 11 18:47:45 UTC 2025","passed","Fri Jul 11 18:49:29 UTC 2025","","TestCases.RWHQImports.SmokeTests.C130972_WB_Text_AddAndRemoveText","TestCases.RWHQImports.SmokeTests.C130972_WB_Text_AddAndRemoveText","testcase"
"","41945","testcase()","","Fri Jul 11 18:47:36 UTC 2025","passed","Fri Jul 11 18:48:18 UTC 2025","","TestCases.RWHQImports.SmokeTests.C63_VerifyIdeaExistsInPipeline","TestCases.RWHQImports.SmokeTests.C63_VerifyIdeaExistsInPipeline","testcase"
"","89827","testcase()","","Fri Jul 11 18:47:33 UTC 2025","passed","Fri Jul 11 18:49:03 UTC 2025","","TestCases.RWHQImports.SmokeTests.C128776_CommentComponent_EditComment","TestCases.RWHQImports.SmokeTests.C128776_CommentComponent_EditComment","testcase"
"","95469","testcase()","","Fri Jul 11 18:47:32 UTC 2025","broken","Fri Jul 11 18:49:07 UTC 2025","","TestCases.RWHQImports.SmokeTests.C44_SubmitNewValidIdeaWithAllRequiredFields","TestCases.RWHQImports.SmokeTests.C44_SubmitNewValidIdeaWithAllRequiredFields","testcase"
