"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","84497","testcase()","","Tue Jul 15 18:47:55 UTC 2025","passed","Tue Jul 15 18:49:19 UTC 2025","","TestCases.RWHQImports.SmokeTests.C128776_CommentComponent_EditComment","TestCases.RWHQImports.SmokeTests.C128776_CommentComponent_EditComment","testcase"
"","122879","testcase()","","Tue Jul 15 18:47:50 UTC 2025","broken","Tue Jul 15 18:49:52 UTC 2025","","TestCases.RWHQImports.SmokeTests.C79_PipelineCreation_CreateDiscussApp","TestCases.RWHQImports.SmokeTests.C79_PipelineCreation_CreateDiscussApp","testcase"
"","104553","testcase()","","Tue Jul 15 18:47:54 UTC 2025","broken","Tue Jul 15 18:49:38 UTC 2025","","TestCases.RWHQImports.SmokeTests.C44_SubmitNewValidIdeaWithAllRequiredFields","TestCases.RWHQImports.SmokeTests.C44_SubmitNewValidIdeaWithAllRequiredFields","testcase"
"","93440","testcase()","","Tue Jul 15 18:47:52 UTC 2025","passed","Tue Jul 15 18:49:25 UTC 2025","","TestCases.RWHQImports.SmokeTests.C130972_WB_Text_AddAndRemoveText","TestCases.RWHQImports.SmokeTests.C130972_WB_Text_AddAndRemoveText","testcase"
"","42663","testcase()","","Tue Jul 15 18:47:50 UTC 2025","passed","Tue Jul 15 18:48:32 UTC 2025","","TestCases.RWHQImports.SmokeTests.C63_VerifyIdeaExistsInPipeline","TestCases.RWHQImports.SmokeTests.C63_VerifyIdeaExistsInPipeline","testcase"
