"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","87923","testcase()","","Wed Jul 16 20:25:04 UTC 2025","passed","Wed Jul 16 20:26:32 UTC 2025","","TestCases.RWHQImports.SmokeTests.C128776_CommentComponent_EditComment","TestCases.RWHQImports.SmokeTests.C128776_CommentComponent_EditComment","testcase"
"","100187","testcase()","","Wed Jul 16 20:25:07 UTC 2025","broken","Wed Jul 16 20:26:47 UTC 2025","","TestCases.RWHQImports.SmokeTests.C44_SubmitNewValidIdeaWithAllRequiredFields","TestCases.RWHQImports.SmokeTests.C44_SubmitNewValidIdeaWithAllRequiredFields","testcase"
"","98501","testcase()","","Wed Jul 16 20:25:03 UTC 2025","passed","Wed Jul 16 20:26:41 UTC 2025","","TestCases.RWHQImports.SmokeTests.C130972_WB_Text_AddAndRemoveText","TestCases.RWHQImports.SmokeTests.C130972_WB_Text_AddAndRemoveText","testcase"
"","45406","testcase()","","Wed Jul 16 20:25:00 UTC 2025","passed","Wed Jul 16 20:25:46 UTC 2025","","TestCases.RWHQImports.SmokeTests.C63_VerifyIdeaExistsInPipeline","TestCases.RWHQImports.SmokeTests.C63_VerifyIdeaExistsInPipeline","testcase"
"","129129","testcase()","","Wed Jul 16 20:25:06 UTC 2025","broken","Wed Jul 16 20:27:15 UTC 2025","","TestCases.RWHQImports.SmokeTests.C79_PipelineCreation_CreateDiscussApp","TestCases.RWHQImports.SmokeTests.C79_PipelineCreation_CreateDiscussApp","testcase"
