"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","95974","testcase()","","Wed Jul 16 19:21:50 UTC 2025","passed","Wed Jul 16 19:23:26 UTC 2025","","TestCases.RWHQImports.SmokeTests.C130972_WB_Text_AddAndRemoveText","TestCases.RWHQImports.SmokeTests.C130972_WB_Text_AddAndRemoveText","testcase"
"","84844","testcase()","","Wed Jul 16 19:21:52 UTC 2025","passed","Wed Jul 16 19:23:17 UTC 2025","","TestCases.RWHQImports.SmokeTests.C128776_CommentComponent_EditComment","TestCases.RWHQImports.SmokeTests.C128776_CommentComponent_EditComment","testcase"
"","47354","testcase()","","Wed Jul 16 19:22:00 UTC 2025","passed","Wed Jul 16 19:22:47 UTC 2025","","TestCases.RWHQImports.SmokeTests.C63_VerifyIdeaExistsInPipeline","TestCases.RWHQImports.SmokeTests.C63_VerifyIdeaExistsInPipeline","testcase"
"","122473","testcase()","","Wed Jul 16 19:22:01 UTC 2025","broken","Wed Jul 16 19:24:03 UTC 2025","","TestCases.RWHQImports.SmokeTests.C79_PipelineCreation_CreateDiscussApp","TestCases.RWHQImports.SmokeTests.C79_PipelineCreation_CreateDiscussApp","testcase"
"","88674","testcase()","","Wed Jul 16 19:21:51 UTC 2025","broken","Wed Jul 16 19:23:20 UTC 2025","","TestCases.RWHQImports.SmokeTests.C44_SubmitNewValidIdeaWithAllRequiredFields","TestCases.RWHQImports.SmokeTests.C44_SubmitNewValidIdeaWithAllRequiredFields","testcase"
