"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","84521","testcase()","","Thu Jul 17 17:03:52 UTC 2025","passed","Thu Jul 17 17:05:17 UTC 2025","","TestCases.RWHQImports.SmokeTests.C128776_CommentComponent_EditComment","TestCases.RWHQImports.SmokeTests.C128776_CommentComponent_EditComment","testcase"
"","101198","testcase()","","Thu Jul 17 17:03:59 UTC 2025","passed","Thu Jul 17 17:05:40 UTC 2025","","TestCases.RWHQImports.SmokeTests.C130972_WB_Text_AddAndRemoveText","TestCases.RWHQImports.SmokeTests.C130972_WB_Text_AddAndRemoveText","testcase"
"","111871","testcase()","","Thu Jul 17 17:04:04 UTC 2025","broken","Thu Jul 17 17:05:56 UTC 2025","","TestCases.RWHQImports.SmokeTests.C79_PipelineCreation_CreateDiscussApp","TestCases.RWHQImports.SmokeTests.C79_PipelineCreation_CreateDiscussApp","testcase"
"","98889","testcase()","","Thu Jul 17 17:03:56 UTC 2025","broken","Thu Jul 17 17:05:35 UTC 2025","","TestCases.RWHQImports.SmokeTests.C44_SubmitNewValidIdeaWithAllRequiredFields","TestCases.RWHQImports.SmokeTests.C44_SubmitNewValidIdeaWithAllRequiredFields","testcase"
"","43139","testcase()","","Thu Jul 17 17:03:53 UTC 2025","passed","Thu Jul 17 17:04:37 UTC 2025","","TestCases.RWHQImports.SmokeTests.C63_VerifyIdeaExistsInPipeline","TestCases.RWHQImports.SmokeTests.C63_VerifyIdeaExistsInPipeline","testcase"
