"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","84314","testcase()","","Tue Jul 15 19:04:30 UTC 2025","passed","Tue Jul 15 19:05:54 UTC 2025","","TestCases.RWHQImports.SmokeTests.C128776_CommentComponent_EditComment","TestCases.RWHQImports.SmokeTests.C128776_CommentComponent_EditComment","testcase"
"","84617","testcase()","","Tue Jul 15 19:04:23 UTC 2025","failed","Tue Jul 15 19:05:48 UTC 2025","","TestCases.RWHQImports.SmokeTests.C130972_WB_Text_AddAndRemoveText","TestCases.RWHQImports.SmokeTests.C130972_WB_Text_AddAndRemoveText","testcase"
"","42398","testcase()","","Tue Jul 15 19:04:26 UTC 2025","passed","Tue Jul 15 19:05:09 UTC 2025","","TestCases.RWHQImports.SmokeTests.C63_VerifyIdeaExistsInPipeline","TestCases.RWHQImports.SmokeTests.C63_VerifyIdeaExistsInPipeline","testcase"
"","123934","testcase()","","Tue Jul 15 19:04:30 UTC 2025","broken","Tue Jul 15 19:06:34 UTC 2025","","TestCases.RWHQImports.SmokeTests.C79_PipelineCreation_CreateDiscussApp","TestCases.RWHQImports.SmokeTests.C79_PipelineCreation_CreateDiscussApp","testcase"
"","95554","testcase()","","Tue Jul 15 19:04:30 UTC 2025","broken","Tue Jul 15 19:06:05 UTC 2025","","TestCases.RWHQImports.SmokeTests.C44_SubmitNewValidIdeaWithAllRequiredFields","TestCases.RWHQImports.SmokeTests.C44_SubmitNewValidIdeaWithAllRequiredFields","testcase"
